,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Date,Month
0,0EPxmvsG1BY5td4aTOkWBF,0.456,0.931,144039.0,0.604,0.0,0.0,0.0488,-1.41,0.0,0.0573,129.926,4.0,0.864,2017-01-01,01
1,4jDmJ51x1o9NZB5Nxxc7gY,0.128,0.574,300107.0,0.629,0.0,2.0,0.271,-8.815,0.0,0.0363,153.119,4.0,0.786,2017-01-01,01
2,1D6nV9TPfMnWm7UdVsDVfI,0.153,0.673,390867.0,0.813,2.87e-05,5.0,0.0547,-10.966,1.0,0.0445,91.786,4.0,0.896,2017-01-01,01
3,0HEmnAUT8PHznIAAmVXqFJ,0.0094,0.887,193200.0,0.48,3.58e-05,11.0,0.0662,-11.994,1.0,0.117,95.846,4.0,0.607,2017-01-01,01
4,1ZgfAxHQCXLt8o1VXEHHAt,0.0615,0.756,206773.0,0.922,0.000462,1.0,0.0723,-2.683,1.0,0.0539,100.005,4.0,0.809,2017-01-01,01
5,4OENL87N5IgxtV6JplR5fe,0.652,0.769,163960.0,0.837,0.0,6.0,0.0986,-4.057,0.0,0.14,100.962,4.0,0.819,2017-01-01,01
6,5kRBzRZmZTXVg8okC7SJFZ,0.0162,0.588,228173.0,0.742,3.98e-06,8.0,0.653,-6.757,1.0,0.0528,125.819,4.0,0.824,2017-01-01,01
7,0mb7btREdC3wuIUmuVRgWn,0.00703,0.591,187853.0,0.901,0.0,10.0,0.0649,-4.328,0.0,0.15,175.345,4.0,0.694,2017-01-01,01
8,0fH86zQcE2CmATQju6WpXv,0.0918,0.685,194693.0,0.819,7.33e-06,1.0,0.0934,-3.748,0.0,0.0494,104.978,4.0,0.607,2017-01-01,01
9,2SzCxX6M6vDwdEwnHDiTaY,0.314,0.534,411147.0,0.415,0.000365,1.0,0.0847,-11.781,0.0,0.0278,173.561,4.0,0.188,2017-01-01,01
10,5932kbyNt445gDTT2chRUS,0.434,0.551,350667.0,0.291,3.78e-05,5.0,0.11,-12.544,1.0,0.0283,119.005,3.0,0.0823,2017-01-01,01
11,3fgfYqJexhMwbxwTLrDS5A,0.966,0.516,151902.0,0.0217,0.0,9.0,0.177,-22.687,1.0,0.0439,130.117,3.0,0.745,2017-01-01,01
12,0L0T4tMAaGqLgIVj1MOj9t,0.163,0.689,336667.0,0.333,3.36e-05,3.0,0.0853,-13.288,1.0,0.0262,101.988,4.0,0.284,2017-01-01,01
13,1HYzRuWjmS9LXCkdVHi25K,0.428,0.314,192441.0,0.526,0.0,0.0,0.126,-4.686,0.0,0.0484,78.643,5.0,0.195,2017-01-01,01
14,1R17cgUv6HeQFa78dzqb7s,0.977,0.429,96893.0,0.188,0.903,9.0,0.145,-16.252,1.0,0.0568,97.382,3.0,0.184,2017-01-01,01
15,3NdDpSvN911VPGivFlV5d0,0.0631,0.735,245200.0,0.451,1.3e-05,0.0,0.325,-8.374,1.0,0.0585,117.973,4.0,0.0862,2017-01-01,01
16,6mzF8HvHdVrzJNd8M1uFCS,0.842,0.524,227584.0,0.405,0.0,10.0,0.107,-6.145,1.0,0.028,109.984,4.0,0.237,2017-01-01,01
17,1sEGwuvScFU2uNzlI7Aepy,0.114,0.28,280720.0,0.384,1.33e-06,2.0,0.0831,-9.845,0.0,0.031,77.949,4.0,0.143,2017-01-01,01
